Fecha;Territorio;Medida;Valor;
26/02/2020;Granada;Confirmados;0;
26/02/2020;Granada;Hospitalizados;;
26/02/2020;Granada;Total UCI;;
26/02/2020;Granada;Fallecimientos;0;
26/02/2020;Granada;Curados;;
26/02/2020;Granada;Nuevos casos;;
27/02/2020;Granada;Confirmados;0;
27/02/2020;Granada;Hospitalizados;;
27/02/2020;Granada;Total UCI;;
27/02/2020;Granada;Fallecimientos;0;
27/02/2020;Granada;Curados;;
27/02/2020;Granada;Nuevos casos;;
28/02/2020;Granada;Confirmados;0;
28/02/2020;Granada;Hospitalizados;;
28/02/2020;Granada;Total UCI;;
28/02/2020;Granada;Fallecimientos;0;
28/02/2020;Granada;Curados;;
28/02/2020;Granada;Nuevos casos;;
29/02/2020;Granada;Confirmados;0;
29/02/2020;Granada;Hospitalizados;;
29/02/2020;Granada;Total UCI;;
29/02/2020;Granada;Fallecimientos;0;
29/02/2020;Granada;Curados;;
29/02/2020;Granada;Nuevos casos;;
01/03/2020;Granada;Confirmados;0;
01/03/2020;Granada;Hospitalizados;;
01/03/2020;Granada;Total UCI;;
01/03/2020;Granada;Fallecimientos;0;
01/03/2020;Granada;Curados;;
01/03/2020;Granada;Nuevos casos;;
02/03/2020;Granada;Confirmados;0;
02/03/2020;Granada;Hospitalizados;;
02/03/2020;Granada;Total UCI;;
02/03/2020;Granada;Fallecimientos;0;
02/03/2020;Granada;Curados;;
02/03/2020;Granada;Nuevos casos;;
03/03/2020;Granada;Confirmados;0;
03/03/2020;Granada;Hospitalizados;;
03/03/2020;Granada;Total UCI;;
03/03/2020;Granada;Fallecimientos;0;
03/03/2020;Granada;Curados;;
03/03/2020;Granada;Nuevos casos;;
04/03/2020;Granada;Confirmados;0;
04/03/2020;Granada;Hospitalizados;;
04/03/2020;Granada;Total UCI;;
04/03/2020;Granada;Fallecimientos;0;
04/03/2020;Granada;Curados;;
04/03/2020;Granada;Nuevos casos;;
05/03/2020;Granada;Confirmados;0;
05/03/2020;Granada;Hospitalizados;;
05/03/2020;Granada;Total UCI;;
05/03/2020;Granada;Fallecimientos;0;
05/03/2020;Granada;Curados;;
05/03/2020;Granada;Nuevos casos;;
06/03/2020;Granada;Confirmados;0;
06/03/2020;Granada;Hospitalizados;;
06/03/2020;Granada;Total UCI;;
06/03/2020;Granada;Fallecimientos;0;
06/03/2020;Granada;Curados;;
06/03/2020;Granada;Nuevos casos;;
07/03/2020;Granada;Confirmados;0;
07/03/2020;Granada;Hospitalizados;;
07/03/2020;Granada;Total UCI;;
07/03/2020;Granada;Fallecimientos;0;
07/03/2020;Granada;Curados;;
07/03/2020;Granada;Nuevos casos;;
08/03/2020;Granada;Confirmados;0;
08/03/2020;Granada;Hospitalizados;;
08/03/2020;Granada;Total UCI;;
08/03/2020;Granada;Fallecimientos;0;
08/03/2020;Granada;Curados;;
08/03/2020;Granada;Nuevos casos;;
09/03/2020;Granada;Confirmados;0;
09/03/2020;Granada;Hospitalizados;;
09/03/2020;Granada;Total UCI;;
09/03/2020;Granada;Fallecimientos;0;
09/03/2020;Granada;Curados;;
09/03/2020;Granada;Nuevos casos;;
10/03/2020;Granada;Confirmados;0;
10/03/2020;Granada;Hospitalizados;;
10/03/2020;Granada;Total UCI;;
10/03/2020;Granada;Fallecimientos;0;
10/03/2020;Granada;Curados;;
10/03/2020;Granada;Nuevos casos;;
11/03/2020;Granada;Confirmados;0;
11/03/2020;Granada;Hospitalizados;;
11/03/2020;Granada;Total UCI;;
11/03/2020;Granada;Fallecimientos;0;
11/03/2020;Granada;Curados;;
11/03/2020;Granada;Nuevos casos;;
12/03/2020;Granada;Confirmados;13;
12/03/2020;Granada;Hospitalizados;;
12/03/2020;Granada;Total UCI;;
12/03/2020;Granada;Fallecimientos;0;
12/03/2020;Granada;Curados;;
12/03/2020;Granada;Nuevos casos;13;
13/03/2020;Granada;Confirmados;22;
13/03/2020;Granada;Hospitalizados;6;
13/03/2020;Granada;Total UCI;;
13/03/2020;Granada;Fallecimientos;0;
13/03/2020;Granada;Curados;;
13/03/2020;Granada;Nuevos casos;9;
14/03/2020;Granada;Confirmados;57;
14/03/2020;Granada;Hospitalizados;20;
14/03/2020;Granada;Total UCI;;
14/03/2020;Granada;Fallecimientos;0;
14/03/2020;Granada;Curados;;
14/03/2020;Granada;Nuevos casos;35;
15/03/2020;Granada;Confirmados;67;
15/03/2020;Granada;Hospitalizados;28;
15/03/2020;Granada;Total UCI;;
15/03/2020;Granada;Fallecimientos;0;
15/03/2020;Granada;Curados;;
15/03/2020;Granada;Nuevos casos;10;
16/03/2020;Granada;Confirmados;95;
16/03/2020;Granada;Hospitalizados;36;
16/03/2020;Granada;Total UCI;;
16/03/2020;Granada;Fallecimientos;2;
16/03/2020;Granada;Curados;;
16/03/2020;Granada;Nuevos casos;28;
17/03/2020;Granada;Confirmados;130;
17/03/2020;Granada;Hospitalizados;29;
17/03/2020;Granada;Total UCI;;
17/03/2020;Granada;Fallecimientos;6;
17/03/2020;Granada;Curados;;
17/03/2020;Granada;Nuevos casos;35;
18/03/2020;Granada;Confirmados;176;
18/03/2020;Granada;Hospitalizados;66;
18/03/2020;Granada;Total UCI;;
18/03/2020;Granada;Fallecimientos;7;
18/03/2020;Granada;Curados;;
18/03/2020;Granada;Nuevos casos;46;
19/03/2020;Granada;Confirmados;244;
19/03/2020;Granada;Hospitalizados;87;
19/03/2020;Granada;Total UCI;;
19/03/2020;Granada;Fallecimientos;10;
19/03/2020;Granada;Curados;;
19/03/2020;Granada;Nuevos casos;68;
20/03/2020;Granada;Confirmados;289;
20/03/2020;Granada;Hospitalizados;100;
20/03/2020;Granada;Total UCI;;
20/03/2020;Granada;Fallecimientos;13;
20/03/2020;Granada;Curados;;
20/03/2020;Granada;Nuevos casos;45;
21/03/2020;Granada;Confirmados;335;
21/03/2020;Granada;Hospitalizados;145;
21/03/2020;Granada;Total UCI;;
21/03/2020;Granada;Fallecimientos;13;
21/03/2020;Granada;Curados;;
21/03/2020;Granada;Nuevos casos;46;
22/03/2020;Granada;Confirmados;374;
22/03/2020;Granada;Hospitalizados;169;
22/03/2020;Granada;Total UCI;;
22/03/2020;Granada;Fallecimientos;17;
22/03/2020;Granada;Curados;0;
22/03/2020;Granada;Nuevos casos;39;
23/03/2020;Granada;Confirmados;480;
23/03/2020;Granada;Hospitalizados;215;
23/03/2020;Granada;Total UCI;;
23/03/2020;Granada;Fallecimientos;21;
23/03/2020;Granada;Curados;1;
23/03/2020;Granada;Nuevos casos;106;
24/03/2020;Granada;Confirmados;579;
24/03/2020;Granada;Hospitalizados;263;
24/03/2020;Granada;Total UCI;;
24/03/2020;Granada;Fallecimientos;25;
24/03/2020;Granada;Curados;1;
24/03/2020;Granada;Nuevos casos;99;
25/03/2020;Granada;Confirmados;648;
25/03/2020;Granada;Hospitalizados;287;
25/03/2020;Granada;Total UCI;;
25/03/2020;Granada;Fallecimientos;32;
25/03/2020;Granada;Curados;1;
25/03/2020;Granada;Nuevos casos;69;
26/03/2020;Granada;Confirmados;711;
26/03/2020;Granada;Hospitalizados;336;
26/03/2020;Granada;Total UCI;38;
26/03/2020;Granada;Fallecimientos;34;
26/03/2020;Granada;Curados;1;
26/03/2020;Granada;Nuevos casos;63;
27/03/2020;Granada;Confirmados;806;
27/03/2020;Granada;Hospitalizados;396;
27/03/2020;Granada;Total UCI;39;
27/03/2020;Granada;Fallecimientos;49;
27/03/2020;Granada;Curados;11;
27/03/2020;Granada;Nuevos casos;95;
28/03/2020;Granada;Confirmados;860;
28/03/2020;Granada;Hospitalizados;427;
28/03/2020;Granada;Total UCI;48;
28/03/2020;Granada;Fallecimientos;57;
28/03/2020;Granada;Curados;13;
28/03/2020;Granada;Nuevos casos;54;
29/03/2020;Granada;Confirmados;963;
29/03/2020;Granada;Hospitalizados;493;
29/03/2020;Granada;Total UCI;50;
29/03/2020;Granada;Fallecimientos;66;
29/03/2020;Granada;Curados;15;
29/03/2020;Granada;Nuevos casos;103;
30/03/2020;Granada;Confirmados;1061;
30/03/2020;Granada;Hospitalizados;556;
30/03/2020;Granada;Total UCI;50;
30/03/2020;Granada;Fallecimientos;67;
30/03/2020;Granada;Curados;15;
30/03/2020;Granada;Nuevos casos;98;
31/03/2020;Granada;Confirmados;1182;
31/03/2020;Granada;Hospitalizados;603;
31/03/2020;Granada;Total UCI;56;
31/03/2020;Granada;Fallecimientos;80;
31/03/2020;Granada;Curados;15;
31/03/2020;Granada;Nuevos casos;121;
01/04/2020;Granada;Confirmados;1230;
01/04/2020;Granada;Hospitalizados;636;
01/04/2020;Granada;Total UCI;58;
01/04/2020;Granada;Fallecimientos;86;
01/04/2020;Granada;Curados;23;
01/04/2020;Granada;Nuevos casos;48;
02/04/2020;Granada;Confirmados;1292;
02/04/2020;Granada;Hospitalizados;681;
02/04/2020;Granada;Total UCI;68;
02/04/2020;Granada;Fallecimientos;93;
02/04/2020;Granada;Curados;25;
02/04/2020;Granada;Nuevos casos;62;
03/04/2020;Granada;Confirmados;1379;
03/04/2020;Granada;Hospitalizados;727;
03/04/2020;Granada;Total UCI;68;
03/04/2020;Granada;Fallecimientos;105;
03/04/2020;Granada;Curados;47;
03/04/2020;Granada;Nuevos casos;87;
04/04/2020;Granada;Confirmados;1477;
04/04/2020;Granada;Hospitalizados;787;
04/04/2020;Granada;Total UCI;84;
04/04/2020;Granada;Fallecimientos;114;
04/04/2020;Granada;Curados;101;
04/04/2020;Granada;Nuevos casos;98;
05/04/2020;Granada;Confirmados;1501;
05/04/2020;Granada;Hospitalizados;808;
05/04/2020;Granada;Total UCI;85;
05/04/2020;Granada;Fallecimientos;114;
05/04/2020;Granada;Curados;129;
05/04/2020;Granada;Nuevos casos;24;
06/04/2020;Granada;Confirmados;1550;
06/04/2020;Granada;Hospitalizados;830;
06/04/2020;Granada;Total UCI;88;
06/04/2020;Granada;Fallecimientos;128;
06/04/2020;Granada;Curados;182;
06/04/2020;Granada;Nuevos casos;49;
07/04/2020;Granada;Confirmados;1600;
07/04/2020;Granada;Hospitalizados;844;
07/04/2020;Granada;Total UCI;93;
07/04/2020;Granada;Fallecimientos;138;
07/04/2020;Granada;Curados;177;
07/04/2020;Granada;Nuevos casos;50;
08/04/2020;Granada;Confirmados;1639;
08/04/2020;Granada;Hospitalizados;865;
08/04/2020;Granada;Total UCI;95;
08/04/2020;Granada;Fallecimientos;142;
08/04/2020;Granada;Curados;205;
08/04/2020;Granada;Nuevos casos;39;
09/04/2020;Granada;Confirmados;1686;
09/04/2020;Granada;Hospitalizados;890;
09/04/2020;Granada;Total UCI;102;
09/04/2020;Granada;Fallecimientos;148;
09/04/2020;Granada;Curados;251;
09/04/2020;Granada;Nuevos casos;47;
10/04/2020;Granada;Confirmados;1725;
10/04/2020;Granada;Hospitalizados;915;
10/04/2020;Granada;Total UCI;102;
10/04/2020;Granada;Fallecimientos;157;
10/04/2020;Granada;Curados;272;
10/04/2020;Granada;Nuevos casos;39;
11/04/2020;Granada;Confirmados;1772;
11/04/2020;Granada;Hospitalizados;943;
11/04/2020;Granada;Total UCI;103;
11/04/2020;Granada;Fallecimientos;165;
11/04/2020;Granada;Curados;317;
11/04/2020;Granada;Nuevos casos;47;
12/04/2020;Granada;Confirmados;1832;
12/04/2020;Granada;Hospitalizados;957;
12/04/2020;Granada;Total UCI;104;
12/04/2020;Granada;Fallecimientos;170;
12/04/2020;Granada;Curados;360;
12/04/2020;Granada;Nuevos casos;60;
13/04/2020;Granada;Confirmados;1864;
13/04/2020;Granada;Hospitalizados;973;
13/04/2020;Granada;Total UCI;110;
13/04/2020;Granada;Fallecimientos;180;
13/04/2020;Granada;Curados;375;
13/04/2020;Granada;Nuevos casos;32;
14/04/2020;Granada;Confirmados;1911;
14/04/2020;Granada;Hospitalizados;994;
14/04/2020;Granada;Total UCI;115;
14/04/2020;Granada;Fallecimientos;181;
14/04/2020;Granada;Curados;409;
14/04/2020;Granada;Nuevos casos;47;
15/04/2020;Granada;Confirmados;1926;
15/04/2020;Granada;Hospitalizados;1004;
15/04/2020;Granada;Total UCI;117;
15/04/2020;Granada;Fallecimientos;187;
15/04/2020;Granada;Curados;480;
15/04/2020;Granada;Nuevos casos;15;
16/04/2020;Granada;Confirmados;1956;
16/04/2020;Granada;Hospitalizados;1018;
16/04/2020;Granada;Total UCI;117;
16/04/2020;Granada;Fallecimientos;191;
16/04/2020;Granada;Curados;513;
16/04/2020;Granada;Nuevos casos;30;
17/04/2020;Granada;Confirmados;1969;
17/04/2020;Granada;Hospitalizados;1025;
17/04/2020;Granada;Total UCI;117;
17/04/2020;Granada;Fallecimientos;193;
17/04/2020;Granada;Curados;563;
17/04/2020;Granada;Nuevos casos;13;
18/04/2020;Granada;Confirmados;2023;
18/04/2020;Granada;Hospitalizados;1041;
18/04/2020;Granada;Total UCI;119;
18/04/2020;Granada;Fallecimientos;196;
18/04/2020;Granada;Curados;616;
18/04/2020;Granada;Nuevos casos;54;
19/04/2020;Granada;Confirmados;2078;
19/04/2020;Granada;Hospitalizados;1057;
