Fecha;Tuits
01-01-2020;0
02-01-2020;0
03-01-2020;0
04-01-2020;0
05-01-2020;0
06-01-2020;0
07-01-2020;0
08-01-2020;0
09-01-2020;0
10-01-2020;0
11-01-2020;0
12-01-2020;0
13-01-2020;0
14-01-2020;0
15-01-2020;0
16-01-2020;0
17-01-2020;0
18-01-2020;0
19-01-2020;0
20-01-2020;0
21-01-2020;2
22-01-2020;4
23-01-2020;3
24-01-2020;10
25-01-2020;158
26-01-2020;314
27-01-2020;157
28-01-2020;22
29-01-2020;10
30-01-2020;14
31-01-2020;12
01-02-2020;7
02-02-2020;12
03-02-2020;12
04-02-2020;13
05-02-2020;7
06-02-2020;3
07-02-2020;2
08-02-2020;4
09-02-2020;4
10-02-2020;6
11-02-2020;3
12-02-2020;2
13-02-2020;7
14-02-2020;4
15-02-2020;4
16-02-2020;4
17-02-2020;2
18-02-2020;2
19-02-2020;3
20-02-2020;3
21-02-2020;2
22-02-2020;4
23-02-2020;3
24-02-2020;26
25-02-2020;53
26-02-2020;60
27-02-2020;57
28-02-2020;36
29-02-2020;14
01-03-2020;15
02-03-2020;24
03-03-2020;42
04-03-2020;80
05-03-2020;46
06-03-2020;28
07-03-2020;32
08-03-2020;22
09-03-2020;110
10-03-2020;269
11-03-2020;357
12-03-2020;621
13-03-2020;348
14-03-2020;289
15-03-2020;219
16-03-2020;362
17-03-2020;340
18-03-2020;284
19-03-2020;286
20-03-2020;315
21-03-2020;320
22-03-2020;241
23-03-2020;226
24-03-2020;252
25-03-2020;238
26-03-2020;280
27-03-2020;237
28-03-2020;220
29-03-2020;172
30-03-2020;222
31-03-2020;217
01-04-2020;262
02-04-2020;228
03-04-2020;215
04-04-2020;150
05-04-2020;138
06-04-2020;210
07-04-2020;204
08-04-2020;186
09-04-2020;133
10-04-2020;213
11-04-2020;219
12-04-2020;143
13-04-2020;180
14-04-2020;209
15-04-2020;270
16-04-2020;192
17-04-2020;251
18-04-2020;188
19-04-2020;165
20-04-2020;219
21-04-2020;286
22-04-2020;223
23-04-2020;278
24-04-2020;240
25-04-2020;193
26-04-2020;187
27-04-2020;233
28-04-2020;250
29-04-2020;217
30-04-2020;214
01-05-2020;153
02-05-2020;184
